index,emotion
0,0
1,0
2,0
3,0
4,0
5,0
6,2
7,0
8,0
9,2
10,3
11,3
12,0
13,3
14,0
15,2
16,0
17,0
18,0
19,2
20,2
21,0
22,3
23,3
24,3
25,3
26,0
27,0
28,3
29,0
30,0
31,3
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,3
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,3
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,3
77,0
78,0
79,0
80,0
81,3
82,0
83,3
84,3
85,3
86,3
87,0
88,0
89,0
90,3
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,3
101,3
102,0
103,3
104,0
105,3
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,3
122,0
123,0
124,0
125,0
126,0
127,0
128,3
129,0
130,0
131,0
132,3
133,0
134,0
135,0
136,0
137,0
138,0
139,3
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,3
154,2
155,0
156,3
157,3
158,3
159,0
160,0
161,3
162,3
163,3
164,3
165,3
166,0
167,0
168,3
169,0
170,0
171,0
172,0
173,3
174,0
175,3
176,3
177,3
178,3
179,3
180,3
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,3
202,0
203,0
204,0
205,0
206,0
207,3
208,0
209,0
210,3
211,0
212,0
213,0
214,3
215,0
216,0
217,0
218,0
219,3
220,0
221,0
222,0
223,0
224,0
225,0
226,3
227,3
228,0
229,0
230,3
231,0
232,0
233,3
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,3
252,0
253,2
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,3
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,2
279,0
280,0
281,0
282,3
283,0
284,3
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,3
294,0
295,0
296,0
297,0
298,3
299,0
300,0
301,0
302,2
303,0
304,0
305,3
306,0
307,0
308,2
309,0
310,3
311,2
312,0
313,0
314,0
315,3
316,0
317,3
318,0
319,3
320,0
321,0
322,0
323,0
324,3
325,0
326,3
327,3
328,0
329,0
330,0
331,2
332,0
333,3
334,3
335,2
336,3
337,0
338,0
339,3
340,2
341,0
342,0
343,0
344,0
345,3
346,3
347,2
348,3
349,0
350,0
351,0
352,0
353,3
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,3
365,3
366,0
367,0
368,0
369,0
370,3
371,3
372,0
373,0
374,0
375,0
376,0
377,3
378,0
379,0
380,0
381,0
382,0
383,2
384,0
385,2
386,3
387,0
388,3
389,0
390,0
391,0
392,3
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,2
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,2
409,0
410,0
411,0
412,3
413,0
414,0
415,0
416,0
417,2
418,0
419,0
420,3
421,0
422,2
423,3
424,0
425,0
426,0
427,0
428,0
429,0
430,3
431,2
432,0
433,0
434,0
435,3
436,2
437,2
438,3
439,3
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,3
454,2
455,0
456,0
457,3
458,0
459,3
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,3
473,3
474,0
475,0
476,3
477,0
478,0
479,0
480,0
481,2
482,0
483,0
484,2
485,0
486,0
487,3
488,3
489,0
490,2
491,0
492,0
493,0
494,0
495,0
496,3
497,3
498,0
499,2
500,0
501,0
502,0
503,0
504,3
505,0
506,0
507,0
508,0
509,0
510,3
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,2
531,0
